SMILES,SMILES_state,NLL
Cc1nc(C2CCCN2Cc2noc(C3CC3)n2)no1,1,20.74
CCCCCCCCCCOc1ccc(-c2nc3cc(C(O)(c4cncn4C)c4nccn4C)cc(Cl)c3nc2OC)cc1,1,42.34
CC(c1ccc(F)cc1)n1c2nc(=O)c(C(=O)O)ccc2c2cc(F)cc(F)c21,1,42.25
O=C(Cc1ccc(Cl)cc1Cl)Nc1ccc2c(c1)OCO2,1,22.63
CC(C)CNC(=O)C1(C)CCC2(C)C3CC4(COC(=O)N(C)C)C5C=C(C(C)C)C4(C(=O)O)C(C=O)(C5)C3CCC12,1,44.11
COc1ccc(C(=O)NC(=S)Nc2ccc(N3CCOCC3)c(NC(=O)c3ccccc3C)c2)cc1,1,28.84
c1ccc(OCCNCC2CCCO2)cc1,1,19.57
C=CCn1c(=O)c2oc3cc(C(=O)OC)ccc3c2n(CCC)c1=O,1,32.19
O=C(O)C=CN1C(=O)c2ccccc2C1=O,1,22.3
CN(c1ccccc1)C1CCN(CCC2(C)CC(=O)CNC2=O)CC1,1,32.73
CCCCCCCCCCCCCCOC(=O)C1CC(OC(C)=O)C(=O)C2C3CCC4CC(OC(=O)CCCCCCCCCCSC(C)=O)CCC4(C)C3CCC12C,1,43.86
CCc1nnc(CN(C)C2CCN(CC(O)c3ccc4c(c3C)COC4=O)C2)o1,1,27.87
N=C(N)c1ccc(OCc2nc3cc(C(=N)N)ccc3o2)cc1,1,23.78
CC(C)C(=O)Nc1ccc2c(=O)n(O)c(=O)[nH]c2c1,1,21.23
O=C(Cc1ccccc1)N1CCc2[nH]c(=O)n3nc(-c4cn[nH]c4)nc3c2C1,1,29.26
O=c1[nH]c(=O)n(C2OC(CO)C(O)C2CO)cc1F,1,20.73
CC(=O)Nc1ccc2c(c1)C1C(CN(CC3CCCC3)CC13C(=O)Nc1ccccc13)O2,1,38.34
COc1cccc(C(=O)NCc2ccccc2OCC(=O)O)c1,1,25.76
CCOc1ccccc1-c1n[nH]c(SC)nc1=O,1,22.49
N#Cc1ccc(NC(=O)COC(=O)c2ccc([N+](=O)[O-])o2)cc1,1,23.0
O=C(NN(Cc1ccc(F)cc1)C(=O)c1ccc2c(c1Cl)CCCO2)c1ccccc1Cl,1,28.52
COc1cccc(-c2ccc(-c3cc(C(=O)N=c4[nH]cc(C(F)(F)F)cc4Cl)no3)cc2)c1,1,32.56
CCCc1c(CCc2ccccc2)c(-c2ccccc2)c(O)n1-c1ccc(S(C)(=O)=O)cc1,1,38.58
CS(=O)(=O)c1ccc(-c2cnc(C(=O)CCCCCCc3ccccc3)o2)cc1,1,21.59
CC(=O)N1CCC(n2cc(-c3c[nH]c(=N)c4c(-c5ccc(NC(=O)Nc6ccc(Cl)c(C(F)(F)F)c6)cc5)cccc34)cn2)CC1,1,29.67
COc1ccc(C=NC(=O)CCc2c(C)[nH]c(C)nc2=O)cc1,1,24.3
COc1ccc(S(=O)(=O)Nc2cccc(C(c3c(O)oc4c(c3=O)CCCCCC4)C3CC3)c2)cc1,1,21.03
CCN(CC)CCOc1ccc(C(=O)c2ccc(OC)cc2)cc1,1,21.0
CN(C)Cc1cccc(C(=O)OCC(C)(C)C2c3ccccc3-c3ccccc32)c1,1,32.9
NCc1ccc(N2CC(CN3CCOC3=O)OC2=O)cc1,1,28.09
Oc1ccc(C2Oc3cc(O)cc(O)c3CC2O)c(O)c1,1,20.71
CCC(=O)c1cc2ccccc2cc1OCCN1CCOCC1,1,27.87
CCCCn1c(N)c(N(CCC(C)C)C(=O)Cn2nnc(-c3ccc(F)cc3)n2)c(=O)[nH]c1=O,1,23.54
COc1ccc(C(=O)N2CC(C)C2)cc1OC,1,25.6
CCN(CC)c1ccc(C=NNC(=O)CSc2nc3c([nH]c4ccccc43)c(=O)n2-c2ccccc2OC)c(O)c1,1,31.59
C#CCN=c1[nH]nc(-c2ccc3cncc(-c4c[nH]c(=NC5CCOCC5)[nH]4)c3c2)o1,1,38.7
O=C(O)c1nccnc1C(=O)NCCc1cc2ncccn2c1,1,32.93
C=C1C2CCC3CC(=O)C24CC1(O)CC(=O)C4CCC3(C)C(Br)Br,1,47.34
CC(C)NC(CCN(C)C)C(COc1ccc(O)cc1)c1cccc2ccccc12,1,44.98
O=C(NC(Cc1ccccc1)C(=O)NCCc1ccccc1)C1CCNCC1,1,21.64
CN(C(=O)Cn1cc2c(n1)CCCCC2)c1ccc(F)cc1,1,26.08
CCOc1cc2[nH]c(SCC(=O)Nc3ccc4c(c3)OCCO4)nc(=O)c2cc1OCC,1,25.48
