Input_Row,SMILES,Canonical_Flat_SMILES,Valid_RDKit,Novel_vs_FXA_reference_flat,MW,cLogP,TPSA,HBD,HBA,RotBonds,HeavyAtoms,QED,Basic_Druglike_Flag,SMILES_state,NLL,Predicted_FXA_pKi,RF_Tree_Uncertainty,FXA_Rank
391,CC1CCCN(C(=O)C2CC(C(=O)N3CCC(c4cc(C(F)(F)F)nn4-c4ccc(Cl)cc4)CC3)CN2)C1,CC1CCCN(C(=O)C2CC(C(=O)N3CCC(c4cc(C(F)(F)F)nn4-c4ccc(Cl)cc4)CC3)CN2)C1,True,True,552.0409999999999,4.487100000000003,70.47,1,4,4,38,0.607907687306039,True,1,32.52,7.9218264342671345,1.4539884118300013,1
879,Clc1ccc(-n2cnc3cnc4ccc(Cl)cc4c32)cc1,Clc1ccc(-n2cnc3cnc4ccc(Cl)cc4c32)cc1,True,True,314.17500000000007,4.880500000000001,30.71,0,2,1,21,0.5011271027523304,True,1,26.22,7.706841459973654,1.4419249553284093,2
277,CCc1ccc(Cl)cc1NC(=O)c1cnn(-c2ccccc2)c1C1CCN(C(=O)OC(C)(C)C)CC1,CCc1ccc(Cl)cc1NC(=O)c1cnn(-c2ccccc2)c1C1CCN(C(=O)OC(C)(C)C)CC1,True,True,509.0500000000004,6.454900000000006,76.46000000000001,1,4,5,36,0.42904780494421646,False,1,28.44,7.5742034325440715,1.5868609349882339,3
759,Cc1noc(C)c1-c1ccc2c(=Nc3ccc(C(=O)N4CCC(N5CCN(C)CC5)CC4)cc3)c(C#N)c[nH]c2c1,Cc1noc(C)c1-c1ccc2c(=Nc3ccc(C(=O)N4CCC(N5CCN(C)CC5)CC4)cc3)c(C#N)c[nH]c2c1,True,True,549.6790000000004,4.395820000000003,104.75999999999999,1,7,4,41,0.4047984077621528,True,1,30.5,7.53698832728068,1.5564971101206555,4
362,O=C(c1ccc(Cl)cn1)c1sc2nc(C(F)(F)F)cc(-c3ccccc3)c2c1OCCCCO,O=C(c1ccc(Cl)cn1)c1sc2nc(C(F)(F)F)cc(-c3ccccc3)c2c1OCCCCO,True,True,506.9330000000003,6.412800000000004,72.31,1,6,8,34,0.22061605383258592,False,1,45.71,7.533263432089488,1.6653087803551692,5
860,NC(=O)c1nn(-c2ccc3c(c2)OCO3)c2c1CCc1ccc(NC(=O)c3c(Cl)cccc3Cl)cc1-2,NC(=O)c1nn(-c2ccc3c(c2)OCO3)c2c1CCc1ccc(NC(=O)c3c(Cl)cccc3Cl)cc1-2,True,True,521.3600000000001,5.024600000000003,108.47,2,5,4,36,0.392050974509484,False,1,22.01,7.532223896980286,1.71416359125684,6
319,COc1ccc(-n2cc(-c3ccc(Cl)cc3)[nH]c2=S)cc1,COc1ccc(-n2cc(-c3ccc(Cl)cc3)[nH]c2=S)cc1,True,True,316.81300000000005,4.863890000000003,29.95,1,2,3,21,0.6990125603960126,True,1,18.56,7.519660676542918,1.2836544839835213,7
979,COC(=O)C(C)N1C(=O)C(=Cc2ccc(Oc3cc(C)n(-c4ccccc4)n3)cc2)SC1=S,COC(=O)C(C)N1C(=O)C(=Cc2ccc(Oc3cc(C)n(-c4ccccc4)n3)cc2)SC1=S,True,True,479.58300000000014,4.735720000000004,73.66,0,7,6,33,0.28731557519968326,True,1,34.62,7.49172026573817,1.3925215856110278,8
968,CC(=O)c1ccc(N2C(=O)C(=Nc3ccc(Cl)cc3)C(Cl)C2=O)cc1,CC(=O)c1ccc(N2C(=O)C(=Nc3ccc(Cl)cc3)C(Cl)C2=O)cc1,True,True,375.21100000000007,3.7959000000000023,66.81,0,4,3,25,0.4657323817501809,True,1,22.92,7.465642561086018,1.4709572517023062,9
240,Cc1c(C(=O)NCc2nnnn2-c2ccccc2)cc2nc(-c3ccc(Br)cc3)c(-c3ccccc3Cl)nn12,Cc1c(C(=O)NCc2nnnn2-c2ccccc2)cc2nc(-c3ccc(Br)cc3)c(-c3ccccc3Cl)nn12,True,True,599.8800000000001,5.693320000000004,102.89000000000001,1,6,6,39,0.26377084379446103,False,1,43.79,7.449689766224226,1.5648079071329712,10
931,CN(Cc1ccc(Cl)cc1)C(=O)c1ccc(NC(=O)CCN2C(=O)c3ccccc3C2=O)cc1,CN(Cc1ccc(Cl)cc1)C(=O)c1ccc(NC(=O)CCN2C(=O)c3ccccc3C2=O)cc1,True,True,475.9320000000003,4.237000000000003,86.78999999999999,1,4,7,34,0.517756445891137,True,1,27.8,7.418364493989945,1.4469803443201952,11
655,N#Cc1cc(Cl)c(N=c2[nH][nH]c(=NS(=O)(=O)c3ccc(Cl)cc3)s2)c(Cl)c1,N#Cc1cc(Cl)c(N=c2[nH][nH]c(=NS(=O)(=O)c3ccc(Cl)cc3)s2)c(Cl)c1,True,True,460.7550000000002,3.758180000000001,114.22999999999999,2,5,3,27,0.6198537333544285,True,1,29.43,7.4054533192543746,1.3096512663575541,12
496,COc1ccc(NC(=NC2C(N(CCN3CCOCC3)C(=O)Nc3ccc(Cl)cc3)C(=O)N2C2CCN(C(C)=O)CC2)NC#N)cc1,COc1ccc(NC(=NC2C(N(CCN3CCOCC3)C(=O)Nc3ccc(Cl)cc3)C(=O)N2C2CCN(C(C)=O)CC2)NC#N)cc1,True,True,666.183,2.60128,154.86999999999998,3,8,9,47,0.12054919246428526,False,1,41.85,7.403588207085927,1.4509841701116386,13
