SMILES,SMILES_state,NLL
CCN(CC(=O)Nc1c(F)cccc1F)C(=O)CCC(=O)Nc1ccc(S(=O)(=O)N(CC)CC)cc1,1,29.2
CC(CC(=O)Nc1cccc(Cl)c1C)=NNC(=O)Cc1ccccc1,1,23.19
O=C(O)CN1C(=O)C(=Cc2ccc(OCc3cccc(F)c3)c(OCc3ccccc3F)c2)SC1=S,1,28.35
N#Cc1nc(C(=O)N2CCC(=C3C(=O)N(Cc4ccc[n+]([O-])c4)c4ccc(C(F)(F)F)cc43)CC2)ccc1F,1,47.75
CN(CC(N)=O)C(=O)CN(CCNCc1ccc(O)c(O)c1)Cc1ccccc1,1,39.46
COCC1CCCN(C(=O)CC(c2nc(C)cs2)S(C)(=O)=O)C1,1,30.99
COc1cccc(C=NNC(=S)Nc2ccccc2Cl)c1OC,1,22.8
O=C(O)C(C1CCC(CCCc2ccccc2)N1)n1cc(F)c(=O)[nH]c1=O,1,35.75
CC(C)S(=O)(=O)NCCCOc1ccc(-c2nc3cc(CO)ccc3[nH]2)cc1,1,32.61
CC(C)=CCCC(C)=CC1CCC2C1(C)CCC(O)C2(O)CO,1,24.55
CCC(CCOC1CCC(COC2CCCCO2)O1)N1C(=O)C(C(C)C)CC(c2ccc(Cl)cc2Cl)C1c1ccc(Cl)cc1,1,50.58
CC1CCCCC1NC(=O)c1cccc(S(=O)(=O)N(C)c2ccc(Cl)cc2)c1,1,25.63
CCCNC(=O)Cn1ncc(Cl)c(Cl)c1=O,1,20.13
CCc1ccc(NC(=O)c2ccnc(N3CCNCC3)c2)cc1,1,24.49
OCC1OC(c2ncc(Cc3ccc(Cl)cc3)s2)C(O)C1F,1,27.56
O=C(c1ccc(Oc2ccccc2)cc1)N1CCCC(O)C1,1,22.81
Cc1ccc2c(=O)c(C(=O)NCc3ccccc3C(F)(F)F)cn(C)c2n1,1,26.38
CC12CCC3C(CC4OC45C(O)C(O)C(O)CC35C)C1(O)CCC2c1coc(O)c1,1,27.59
CC(=O)Nc1cccc(-c2ccnc3c2CC(C)(C(=O)Nc2ccccc2C)O3)c1,1,24.04
COc1ccc(C=CC(=O)c2cc3c(c(OC)c2)OC(C)(CCC=C(C)CCC=C(C)C)CC3)cc1,1,30.11
COC(=O)c1ccc(C=c2sc3n(c2=O)N=C2C=CC=CC2(c2cccc(F)c2)N=3)cc1,1,37.94
COc1ccc2[nH]c3c(N(C)CCc4c[nH]cn4)c(=O)n(CC(N)=O)nc3c2c1,1,43.04
O=C(Cc1ccccc1)N=c1[nH]nc(CCCCc2ccc(=NC(=O)C(COc3ccc(C(F)(F)F)cc3)c3ccc(Cl)cc3)[nH]n2)s1,1,36.95
CC=Cn1cnc2c1c(C(N)=O)c(O)c(=O)n2C(CCCN=C(N)N)C(=O)Nc1c(F)cccc1F,1,57.94
CC(C)(CNC(=O)N1CCOCC1C(=O)O)c1ccc(Cl)cc1,1,33.44
C=C(C)C(C)(C)c1cccc(CS(=O)(=O)c2ccccc2)c1,1,29.97
CC=CC(=O)CCCCCCNC(=O)c1cc2ccccc2o1,1,32.36
CCn1cc(C(=O)O)c(=O)c2cc3c(cc21)N(Cc1ccc(C)cc1C)C(C)C3,1,35.0
CCOc1ccc(CN2c3ccccc3C(=O)N(Cc3ccccc3)S2(=O)=O)cc1F,1,28.07
C#CCNC(=O)C1=CC(c2ccc(Cl)cc2Cl)SCC1,1,29.94
OC(c1ccc(Cl)cc1)C1CCN(CCOc2cccc3ncccc23)CC1,1,25.8
CC(C)(C)OC(=O)CCCCc1nc2cc(C=C3C(=O)Nc4cc(F)ccc43)ccc2[nH]1,1,36.89
CC(C)(C(Cl)Cl)C(O)C(=O)N1CCCC1CNC(=O)c1cccs1,1,45.4
COC(=O)N1CCC(Oc2cccc(N3CCCC3)n2)CC1,1,24.19
O=C(CSc1nnc(-c2ccc(Br)cc2)o1)N=c1[nH]ccs1,1,22.27
Cc1c(CCN2CC=C(c3ccccc3)CC2)c(=O)oc2ccccc12,1,26.88
CC(C)COC1=CC(=NNC(=O)C(=O)NCCN(C)C)C=C(Cl)C1=O,1,36.02
CC1(C=O)C(O)CCC2(C)C1C(O)CC1C3(C)CCC(O)C(C)(CC(=O)O)C3CC3OC312,1,40.72
CCn1ccnc1CN(C)CC(=O)N1CCN(c2cnccn2)CC1,1,28.57
Cc1n[nH]c2ncc3c(c12)CCCC3,1,23.33
CCCCCCNC(=O)SCc1cccc(C)c1,1,25.53
CN(C)CCOCCN(C)c1ccc(CC2=c3cc(Cl)ccc3=NC2=O)cc1,1,28.43
CCOC(=O)C(C)(C)CCCC=CCCCCCCCC(N)=O,1,33.61
CC(=O)c1c(O)c(C(C)=C2C(=O)Oc3cccc(O)c3C2=O)c(O)oc1=O,1,32.03
COc1cc(N2CCN(C)CC2)ccc1N=c1nc2c(c[nH]1)CN(C(C)C)C(=O)N2C1CCN(C(=O)C=CCN(C)C)C1,1,26.31
COc1ccc(C(=O)N=c2[nH]c(-c3ccc(C(C)(C)C)cc3)cs2)cc1,1,22.1
Cn1cc(-c2cnc3ccn(C(=O)c4cccnc4)c3c2)cn1,1,30.05
O=C1CC(c2ccccc2)C2(CCN(C(=O)c3cccs3)CC2)N1,1,23.53
CCOc1cc(C=C2C(=O)NC(=O)NC2=O)cc(Br)c1O,1,19.71
COc1ccccc1N1CCCN(CCn2c(=O)[nH]c3ccccc32)CC1,1,25.18
Cc1ccc(N2CCN(C3=NC([n+]4ccccc4)C(C#N)C3C#N)CC2)cc1,1,31.01
COc1cc2c3ccccc3sn2c(=N)n1,1,28.12
CS(=O)(=O)N1CN(CC2CCCCCCC2)CC2C(CNC(=O)N3CCCC3)CCCC21,1,39.86
COc1ccc(NC(=S)NC(=O)c2cccnc2)cc1OC,1,24.69
COc1ccc2[nH]ccc(=Nc3ccc(O)cc3CN3CCC(c4ccc(S(C)(=O)=O)cc4)CC3)c2c1,1,41.9
O=c1[nH]ncc(NNC(=S)Nc2ccc(F)cc2)c1Cl,1,24.33
CCCOc1c(O)cccc1C1C(C(=O)OC)C2CC(CO)C1N2CC,1,43.33
COc1ccc(CNC(=O)c2cnc3sccn3c2=O)cc1,1,21.51
CC(=O)OC1CCC2C3=CCC4(C)C(=C5C(=O)OCC5=CC4C)C3CCC12C,1,40.53
CCOc1ncc(S(=O)(=O)CC)cc1-c1nc(=O)c2nn(C3CCN(C)CC3)c(CC)c2[nH]1,1,29.18
CC12C=C3CCCCC3=[N+]([O-])C1CCC2=O,1,30.11
CC(C)(C)c1cc(C(=O)N=c2cccc[nH]2)c[nH]c1=O,1,28.11
CC(=O)CCCC(=O)N1Cc2ccccc2CC1C1NC(CO)Cc2cc3c(cc21)OCO3,1,41.37
O=C(O)C(Cc1ccc(NS(=O)(=O)O)cc1)NC(=O)C1CCCN1C(=O)OCc1ccc2ccccc2c1,1,32.13
CS(=O)(=O)NN=CC(Cl)=C(Cl)Cl,1,24.11
CN(Cc1ccccc1)Cc1nnsc1Cl,1,21.94
CC(=O)NC(C)C(=O)Nc1cc(C#N)ccc1N1CCCCC1,1,27.39
COc1ccc(NC(=O)c2ccccc2NC(=O)c2ccccc2)cc1OC,1,23.07
CN(C)C(=O)c1cc2ccc(OCc3cccc(CN)c3)cc2oc1=O,1,31.05
Cc1cc(-c2ccnc3ccccc23)c2c(n1)CCN2c1cccc(C(F)(F)F)c1,1,41.54
CN(C)CCCn1c2c(c(SCC(=O)Nc3ccccc3Cl)nc1=O)CCCC2,1,22.91
CN(C)Cc1ccc(CN2CCCc3c(ncnc3NS(C)(=O)=O)C2)s1,1,42.95
CCCCCCCCCCCC1NS(=O)(=O)CC1=O,1,29.04
O=C(N=c1cc[nH]cc1)c1cc(S(=O)(=O)N2CCOCC2)cc(Cl)c1Cl,1,25.27
CC1=NC(SCc2ccccc2)=NC(c2cccc([N+](=O)[O-])c2)C1C(=O)Nc1ccccc1Cl,1,25.09
CCOC(=O)N1CCN(C(=S)Nc2ccc(C(=O)Nc3ccccc3N)c(C)c2)CC1,1,30.31
Cc1nc[nH]c1Cn1cnc2cc(-c3ccc(C(=O)N4CCOCC4)cc3)[nH]c2c1=O,1,37.07
NS(=O)(=O)c1ccc(Cl)c(C(=O)N2CCC(c3ccc(F)cc3)CC2)c1,1,27.5
N=C(N)C1CCCN1Cc1cncc(-c2ccnc3cc(Cl)ccc23)c1,1,40.2
Cc1cc(-c2ccc3[nH][nH]c(=N)c3c2)ccn1,1,23.11
CN(c1ncccc1C(F)(F)F)C1CCN(C(=O)c2c(F)cccc2F)CC1,1,27.1
O=C1CC(c2ccccc2)c2cnn(-c3ccncc3)c2N1,1,24.88
COc1ccc(N(C)c2cc3c(cc2C(N)=O)[nH]c(=O)n3C)cc1,1,28.37
FC(F)(F)c1ccc2[nH]c(-c3cccnc3)nc2c1,1,19.66
COC(=O)c1ccc2[nH]c(CS(=O)(=O)Cc3ccccc3Cl)nc2c1,1,26.92
Cc1cccc(NC(=O)NC2(C(=O)Nc3ccc(F)cc3)CCCCC2)c1,1,26.42
Cc1cccc(S(=O)(=O)Nc2c(C)cc(NCC(C)C)c3ncccc23)c1,1,31.15
O=C(NC(CO)c1ccc(F)cc1)c1ncccc1N(Cc1ccc2ccncc2c1)S(=O)(=O)c1ccccn1,1,46.03
COc1ccccc1N(CC(=O)NN=Cc1ccc(Cl)c(Cl)c1)S(=O)(=O)c1ccccc1,1,25.62
N=c1[nH]c(-c2ccc(NC(=O)C3CC3)cc2)ncc1OC1CC2CC1C(CO)N2,1,37.54
Cc1cc(C)c2c(n1)n(Cc1cncc(NS(=O)(=O)c3ccc(-c4ccc(F)cc4)cc3)c1)c(=O)n2C1CC1,1,37.14
O=C(c1ccc(Br)cc1)C(c1cccc(Cl)c1)S(=O)(=O)Cc1ccc(Cl)cc1,1,32.0
COC(=O)c1cn(CC(=O)NCc2cccc(C(F)(F)F)c2)c2ccc(Cl)cc12,1,29.48
CC1=CCC(C2c3ccccc3C(=N)C23c2ccccc2N(C)S3(=O)=O)C1,1,40.77
CC(C)(C)C(=O)Nc1ccc2c(c1)cc(C(N)=O)n2S(C)(=O)=O,1,31.02
COc1cc(C=NNC(=O)Cn2c(=O)c(-c3ccccc3)nc3ccccc32)ccc1O,1,27.81
O=[N+]([O-])c1cc(CN=c2[nH]cnc3c2ncn3C2OC(CO)C(O)C2O)ccc1Cl,1,25.7
CCCCN(CCCC)CCCCCOc1ccc(C2(c3ccccc3)c3ccccc3-c3ccccc32)cc1,1,29.78
NC(=O)c1cc(Cl)ccc1NC(=O)CNC(=O)CC1CCCCN1Cc1ccc(Cl)cc1Cl,1,41.52
