SMILES,SMILES_state,NLL,Canonical_SMILES,Flat_Canonical_SMILES,Valid_RDKit,MW,LogP,TPSA,HBD,HBA,RotBonds,HeavyAtoms,QED,Novel_vs_FXA_reference,Predicted_pKi_FXA,RF_tree_std_uncertainty,Basic_Druglike
CCC(CCOC1CCC(COC2CCCCO2)O1)N1C(=O)C(C(C)C)CC(c2ccc(Cl)cc2Cl)C1c1ccc(Cl)cc1,1,50.58,CCC(CCOC1CCC(COC2CCCCO2)O1)N1C(=O)C(C(C)C)CC(c2ccc(Cl)cc2Cl)C1c1ccc(Cl)cc1,CCC(CCOC1CCC(COC2CCCCO2)O1)N1C(=O)C(C(C)C)CC(c2ccc(Cl)cc2Cl)C1c1ccc(Cl)cc1,True,667.1140000000001,9.209800000000001,57.230000000000004,0,5,12,44,0.22612259362239306,True,7.327893246703678,1.427234553540695,False
CN(C)CCOCCN(C)c1ccc(CC2=c3cc(Cl)ccc3=NC2=O)cc1,1,28.43,CN(C)CCOCCN(C)c1ccc(CC2=c3cc(Cl)ccc3=NC2=O)cc1,CN(C)CCOCCN(C)c1ccc(CC2=c3cc(Cl)ccc3=NC2=O)cc1,True,399.9220000000001,1.9075999999999995,45.14,0,4,9,28,0.6041294202589054,True,7.323051006801924,1.44432817472889,True
COc1cc(N2CCN(C)CC2)ccc1N=c1nc2c(c[nH]1)CN(C(C)C)C(=O)N2C1CCN(C(=O)C=CCN(C)C)C1,1,26.31,COc1cc(N2CCN(C)CC2)ccc1N=c1nc2c(c[nH]1)CN(C(C)C)C(=O)N2C1CCN(C(=O)C=CCN(C)C)C1,COc1cc(N2CCN(C)CC2)ccc1N=c1nc2c(c[nH]1)CN(C(C)C)C(=O)N2C1CCN(C(=O)C=CCN(C)C)C1,True,591.7610000000001,2.271600000000002,103.84999999999998,1,8,8,43,0.4700844090061473,True,7.222465320737434,1.5884078393026102,True
OCC1OC(c2ncc(Cc3ccc(Cl)cc3)s2)C(O)C1F,1,27.56,OCC1OC(c2ncc(Cc3ccc(Cl)cc3)s2)C(O)C1F,OCC1OC(c2ncc(Cc3ccc(Cl)cc3)s2)C(O)C1F,True,343.807,2.5185000000000004,62.58,2,5,4,22,0.8951219863552293,True,7.12954174317254,1.3971053417303145,True
N#Cc1nc(C(=O)N2CCC(=C3C(=O)N(Cc4ccc[n+]([O-])c4)c4ccc(C(F)(F)F)cc43)CC2)ccc1F,1,47.75,N#Cc1nc(C(=O)N2CCC(=C3C(=O)N(Cc4ccc[n+]([O-])c4)c4ccc(C(F)(F)F)cc43)CC2)ccc1F,N#Cc1nc(C(=O)N2CCC(=C3C(=O)N(Cc4ccc[n+]([O-])c4)c4ccc(C(F)(F)F)cc43)CC2)ccc1F,True,537.4730000000002,3.9811800000000037,104.24,0,5,3,39,0.21765502878996365,True,7.059474986076354,1.6671157966112848,True
NC(=O)c1cc(Cl)ccc1NC(=O)CNC(=O)CC1CCCCN1Cc1ccc(Cl)cc1Cl,1,41.52,NC(=O)c1cc(Cl)ccc1NC(=O)CNC(=O)CC1CCCCN1Cc1ccc(Cl)cc1Cl,NC(=O)c1cc(Cl)ccc1NC(=O)CNC(=O)CC1CCCCN1Cc1ccc(Cl)cc1Cl,True,511.83700000000033,4.245200000000002,104.52999999999999,3,4,8,33,0.4927629306669831,True,7.056111557722092,1.4103549151008683,True
Cc1cc(-c2ccnc3ccccc23)c2c(n1)CCN2c1cccc(C(F)(F)F)c1,1,41.54,Cc1cc(-c2ccnc3ccccc23)c2c(n1)CCN2c1cccc(C(F)(F)F)c1,Cc1cc(-c2ccnc3ccccc23)c2c(n1)CCN2c1cccc(C(F)(F)F)c1,True,405.42300000000006,6.318220000000004,29.020000000000003,0,3,2,30,0.3908570386950418,True,7.044834811290106,1.6456554742841547,False
CC(C)(CNC(=O)N1CCOCC1C(=O)O)c1ccc(Cl)cc1,1,33.44,CC(C)(CNC(=O)N1CCOCC1C(=O)O)c1ccc(Cl)cc1,CC(C)(CNC(=O)N1CCOCC1C(=O)O)c1ccc(Cl)cc1,True,340.807,2.1126000000000005,78.87,2,3,4,23,0.879538827355316,True,7.01999855128924,1.3067659636150488,True
O=C(c1ccc(Br)cc1)C(c1cccc(Cl)c1)S(=O)(=O)Cc1ccc(Cl)cc1,1,32.0,O=C(c1ccc(Br)cc1)C(c1cccc(Cl)c1)S(=O)(=O)Cc1ccc(Cl)cc1,O=C(c1ccc(Br)cc1)C(c1cccc(Cl)c1)S(=O)(=O)Cc1ccc(Cl)cc1,True,498.22500000000014,6.294900000000005,51.21,0,3,6,28,0.37549591456103126,True,6.967518915637334,1.3598183164218969,False
O=C(Cc1ccccc1)N=c1[nH]nc(CCCCc2ccc(=NC(=O)C(COc3ccc(C(F)(F)F)cc3)c3ccc(Cl)cc3)[nH]n2)s1,1,36.95,O=C(Cc1ccccc1)N=c1[nH]nc(CCCCc2ccc(=NC(=O)C(COc3ccc(C(F)(F)F)cc3)c3ccc(Cl)cc3)[nH]n2)s1,O=C(Cc1ccccc1)N=c1[nH]nc(CCCCc2ccc(=NC(=O)C(COc3ccc(C(F)(F)F)cc3)c3ccc(Cl)cc3)[nH]n2)s1,True,695.167,6.392000000000006,125.45,2,6,12,48,0.14649076083802742,True,6.963589466337932,1.5084606197939376,False
OC(c1ccc(Cl)cc1)C1CCN(CCOc2cccc3ncccc23)CC1,1,25.8,OC(c1ccc(Cl)cc1)C1CCN(CCOc2cccc3ncccc23)CC1,OC(c1ccc(Cl)cc1)C1CCN(CCOc2cccc3ncccc23)CC1,True,396.9180000000001,4.712600000000004,45.59,1,4,6,28,0.6548291704029513,True,6.93622327559789,1.4614627163790987,True
COC(=O)N1CCC(Oc2cccc(N3CCCC3)n2)CC1,1,24.19,COC(=O)N1CCC(Oc2cccc(N3CCCC3)n2)CC1,COC(=O)N1CCC(Oc2cccc(N3CCCC3)n2)CC1,True,305.3780000000001,2.2914000000000003,54.9,0,5,3,22,0.8573825882476384,True,6.934302359199523,1.5716539220571244,True
O=C(N=c1cc[nH]cc1)c1cc(S(=O)(=O)N2CCOCC2)cc(Cl)c1Cl,1,25.27,O=C(N=c1cc[nH]cc1)c1cc(S(=O)(=O)N2CCOCC2)cc(Cl)c1Cl,O=C(N=c1cc[nH]cc1)c1cc(S(=O)(=O)N2CCOCC2)cc(Cl)c1Cl,True,416.2860000000002,2.0835,91.83,1,4,3,26,0.8296598732521994,True,6.931367291529973,1.40012170573721,True
COc1ccc2[nH]c3c(N(C)CCc4c[nH]cn4)c(=O)n(CC(N)=O)nc3c2c1,1,43.04,COc1ccc2[nH]c3c(N(C)CCc4c[nH]cn4)c(=O)n(CC(N)=O)nc3c2c1,COc1ccc2[nH]c3c(N(C)CCc4c[nH]cn4)c(=O)n(CC(N)=O)nc3c2c1,True,395.4230000000002,0.7737,134.92000000000002,3,6,7,29,0.42305697747949156,True,6.917569103087319,1.5794159551971525,True
CC1CCCCC1NC(=O)c1cccc(S(=O)(=O)N(C)c2ccc(Cl)cc2)c1,1,25.63,CC1CCCCC1NC(=O)c1cccc(S(=O)(=O)N(C)c2ccc(Cl)cc2)c1,CC1CCCCC1NC(=O)c1cccc(S(=O)(=O)N(C)c2ccc(Cl)cc2)c1,True,420.9620000000001,4.473600000000004,66.48,1,3,5,28,0.7752582435803282,True,6.91596676009496,1.4333823249621997,True
COC(=O)c1ccc2[nH]c(CS(=O)(=O)Cc3ccccc3Cl)nc2c1,1,26.92,COC(=O)c1ccc2[nH]c(CS(=O)(=O)Cc3ccccc3Cl)nc2c1,COC(=O)c1ccc2[nH]c(CS(=O)(=O)Cc3ccccc3Cl)nc2c1,True,378.837,3.1179000000000014,89.12,1,5,5,25,0.6888114668677662,True,6.9014308981895445,1.4591961707843475,True
NS(=O)(=O)c1ccc(Cl)c(C(=O)N2CCC(c3ccc(F)cc3)CC2)c1,1,27.5,NS(=O)(=O)c1ccc(Cl)c(C(=O)N2CCC(c3ccc(F)cc3)CC2)c1,NS(=O)(=O)c1ccc(Cl)c(C(=O)N2CCC(c3ccc(F)cc3)CC2)c1,True,396.8710000000001,3.146300000000002,80.47,1,3,3,26,0.8648578084360761,True,6.891796346918742,1.4588061523268825,True
COc1cc(C=NNC(=O)Cn2c(=O)c(-c3ccccc3)nc3ccccc32)ccc1O,1,27.81,COc1cc(C=NNC(=O)Cn2c(=O)c(-c3ccccc3)nc3ccccc32)ccc1O,COc1cc(C=NNC(=O)Cn2c(=O)c(-c3ccccc3)nc3ccccc32)ccc1O,True,428.4480000000001,2.9280000000000013,105.81,2,6,6,32,0.36286300842091546,True,6.882749263795217,1.5719909897855864,True
C#CCNC(=O)C1=CC(c2ccc(Cl)cc2Cl)SCC1,1,29.94,C#CCNC(=O)C1=CC(c2ccc(Cl)cc2Cl)SCC1,C#CCNC(=O)C1=CC(c2ccc(Cl)cc2Cl)SCC1,True,326.24800000000005,3.8472000000000026,29.1,1,2,3,20,0.8551245532299648,True,6.860481045722961,1.3419096145993497,True
CN(C)CCCn1c2c(c(SCC(=O)Nc3ccccc3Cl)nc1=O)CCCC2,1,22.91,CN(C)CCCn1c2c(c(SCC(=O)Nc3ccccc3Cl)nc1=O)CCCC2,CN(C)CCCn1c2c(c(SCC(=O)Nc3ccccc3Cl)nc1=O)CCCC2,True,434.9930000000003,3.458000000000003,67.23,1,5,8,29,0.5087132938569056,True,6.848101469612123,1.5895194982786598,True
N=C(N)C1CCCN1Cc1cncc(-c2ccnc3cc(Cl)ccc23)c1,1,40.2,N=C(N)C1CCCN1Cc1cncc(-c2ccnc3cc(Cl)ccc23)c1,N=C(N)C1CCCN1Cc1cncc(-c2ccnc3cc(Cl)ccc23)c1,True,365.8680000000001,3.850570000000003,78.89,2,4,4,26,0.5433380702895955,True,6.83473424577713,1.4418682221962715,True
COC(=O)c1cn(CC(=O)NCc2cccc(C(F)(F)F)c2)c2ccc(Cl)cc12,1,29.48,COC(=O)c1cn(CC(=O)NCc2cccc(C(F)(F)F)c2)c2ccc(Cl)cc12,COC(=O)c1cn(CC(=O)NCc2cccc(C(F)(F)F)c2)c2ccc(Cl)cc12,True,424.8060000000001,4.416500000000003,60.33,1,3,5,29,0.6168331314369351,True,6.791371625343959,1.4599171754559483,True
COc1ccc2[nH]ccc(=Nc3ccc(O)cc3CN3CCC(c4ccc(S(C)(=O)=O)cc4)CC3)c2c1,1,41.9,COc1ccc2[nH]ccc(=Nc3ccc(O)cc3CN3CCC(c4ccc(S(C)(=O)=O)cc4)CC3)c2c1,COc1ccc2[nH]ccc(=Nc3ccc(O)cc3CN3CCC(c4ccc(S(C)(=O)=O)cc4)CC3)c2c1,True,517.6510000000004,4.897600000000004,94.99000000000001,2,6,6,37,0.37948905222132245,True,6.784496668338774,1.5427654569626224,True
Cn1cc(-c2cnc3ccn(C(=O)c4cccnc4)c3c2)cn1,1,30.05,Cn1cc(-c2cnc3ccn(C(=O)c4cccnc4)c3c2)cn1,Cn1cc(-c2cnc3ccn(C(=O)c4cccnc4)c3c2)cn1,True,303.32500000000005,2.5203000000000007,65.6,0,4,2,23,0.5705336807468366,True,6.753436682383219,1.4978374325568755,True
Cc1c(CCN2CC=C(c3ccccc3)CC2)c(=O)oc2ccccc12,1,26.88,Cc1c(CCN2CC=C(c3ccccc3)CC2)c(=O)oc2ccccc12,Cc1c(CCN2CC=C(c3ccccc3)CC2)c(=O)oc2ccccc12,True,345.44200000000006,4.433220000000004,33.45,0,3,4,26,0.6558705247216292,True,6.74844824959437,1.4705183361384673,True
COc1ccc(C(=O)N=c2[nH]c(-c3ccc(C(C)(C)C)cc3)cs2)cc1,1,22.1,COc1ccc(C(=O)N=c2[nH]c(-c3ccc(C(C)(C)C)cc3)cs2)cc1,COc1ccc(C(=O)N=c2[nH]c(-c3ccc(C(C)(C)C)cc3)cs2)cc1,True,366.48600000000005,4.790400000000004,54.449999999999996,1,3,3,26,0.7244119393226957,True,6.745056664176972,1.4651728016282815,True
O=C1CC(c2ccccc2)c2cnn(-c3ccncc3)c2N1,1,24.88,O=C1CC(c2ccccc2)c2cnn(-c3ccncc3)c2N1,O=C1CC(c2ccccc2)c2cnn(-c3ccncc3)c2N1,True,290.326,2.7414000000000005,59.81,1,3,2,22,0.7891524318664451,True,6.739375447614988,1.6134315259994414,True
COc1ccc(CNC(=O)c2cnc3sccn3c2=O)cc1,1,21.51,COc1ccc(CNC(=O)c2cnc3sccn3c2=O)cc1,COc1ccc(CNC(=O)c2cnc3sccn3c2=O)cc1,True,315.35400000000004,1.6945999999999999,72.69999999999999,1,5,4,22,0.7950901429409843,True,6.733381499767304,1.6843119923250602,True
COc1ccc(N(C)c2cc3c(cc2C(N)=O)[nH]c(=O)n3C)cc1,1,28.37,COc1ccc(N(C)c2cc3c(cc2C(N)=O)[nH]c(=O)n3C)cc1,COc1ccc(N(C)c2cc3c(cc2C(N)=O)[nH]c(=O)n3C)cc1,True,326.35600000000005,1.7419999999999995,93.35,2,4,4,24,0.7635241414946244,True,6.730333405907949,1.5005727252933834,True
CC(C)COC1=CC(=NNC(=O)C(=O)NCCN(C)C)C=C(Cl)C1=O,1,36.02,CC(C)COC1=CC(=NNC(=O)C(=O)NCCN(C)C)C=C(Cl)C1=O,CC(C)COC1=CC(=NNC(=O)C(=O)NCCN(C)C)C=C(Cl)C1=O,True,370.83700000000005,0.39830000000000054,100.1,2,6,7,25,0.3836083460724869,True,6.725984284328692,1.7081693914040919,True
CN(C)Cc1ccc(CN2CCCc3c(ncnc3NS(C)(=O)=O)C2)s1,1,42.95,CN(C)Cc1ccc(CN2CCCc3c(ncnc3NS(C)(=O)=O)C2)s1,CN(C)Cc1ccc(CN2CCCc3c(ncnc3NS(C)(=O)=O)C2)s1,True,395.55400000000003,1.9196,78.43,1,7,6,26,0.805108581033769,True,6.725082830635708,1.6555843010131481,True
CN(c1ncccc1C(F)(F)F)C1CCN(C(=O)c2c(F)cccc2F)CC1,1,27.1,CN(c1ncccc1C(F)(F)F)C1CCN(C(=O)c2c(F)cccc2F)CC1,CN(c1ncccc1C(F)(F)F)C1CCN(C(=O)c2c(F)cccc2F)CC1,True,399.3630000000001,4.119600000000004,36.440000000000005,0,3,3,28,0.7289757304673091,True,6.718089892101289,1.6315809703858368,True
CCOc1ccc(CN2c3ccccc3C(=O)N(Cc3ccccc3)S2(=O)=O)cc1F,1,28.07,CCOc1ccc(CN2c3ccccc3C(=O)N(Cc3ccccc3)S2(=O)=O)cc1F,CCOc1ccc(CN2c3ccccc3C(=O)N(Cc3ccccc3)S2(=O)=O)cc1F,True,440.4960000000001,4.131800000000003,66.92,0,4,6,31,0.5781001659948392,True,6.695508650461833,1.4347202939411805,True
COc1ccccc1N1CCCN(CCn2c(=O)[nH]c3ccccc32)CC1,1,25.18,COc1ccccc1N1CCCN(CCn2c(=O)[nH]c3ccccc32)CC1,COc1ccccc1N1CCCN(CCn2c(=O)[nH]c3ccccc32)CC1,True,366.46500000000003,2.5505000000000004,53.5,1,4,5,27,0.7540257242621565,True,6.693974718512807,1.616418291164692,True
Cc1ccc(N2CCN(C3=NC([n+]4ccccc4)C(C#N)C3C#N)CC2)cc1,1,31.01,Cc1ccc(N2CCN(C3=NC([n+]4ccccc4)C(C#N)C3C#N)CC2)cc1,Cc1ccc(N2CCN(C3=NC([n+]4ccccc4)C(C#N)C3C#N)CC2)cc1,True,371.46800000000025,2.29498,70.3,0,5,2,28,0.7597241787066613,True,6.691995161655215,1.559830200988297,True
Cc1ccc2c(=O)c(C(=O)NCc3ccccc3C(F)(F)F)cn(C)c2n1,1,26.38,Cc1ccc2c(=O)c(C(=O)NCc3ccccc3C(F)(F)F)cn(C)c2n1,Cc1ccc2c(=O)c(C(=O)NCc3ccccc3C(F)(F)F)cn(C)c2n1,True,375.3500000000001,3.1907200000000016,63.99,1,3,3,27,0.7647685305776681,True,6.685092899481456,1.4662074605441109,True
O=c1[nH]ncc(NNC(=S)Nc2ccc(F)cc2)c1Cl,1,24.33,O=c1[nH]ncc(NNC(=S)Nc2ccc(F)cc2)c1Cl,O=c1[nH]ncc(NNC(=S)Nc2ccc(F)cc2)c1Cl,True,313.745,1.875899999999999,81.84,4,4,3,20,0.5115271956728379,True,6.665934699600461,1.467378580622522,True
CCOc1ncc(S(=O)(=O)CC)cc1-c1nc(=O)c2nn(C3CCN(C)CC3)c(CC)c2[nH]1,1,29.18,CCOc1ncc(S(=O)(=O)CC)cc1-c1nc(=O)c2nn(C3CCN(C)CC3)c(CC)c2[nH]1,CCOc1ncc(S(=O)(=O)CC)cc1-c1nc(=O)c2nn(C3CCN(C)CC3)c(CC)c2[nH]1,True,474.58700000000033,2.203,123.07,1,8,7,33,0.5528355261117553,True,6.657528234863282,1.7556317842282354,True
O=[N+]([O-])c1cc(CN=c2[nH]cnc3c2ncn3C2OC(CO)C(O)C2O)ccc1Cl,1,25.7,O=[N+]([O-])c1cc(CN=c2[nH]cnc3c2ncn3C2OC(CO)C(O)C2O)ccc1Cl,O=[N+]([O-])c1cc(CN=c2[nH]cnc3c2ncn3C2OC(CO)C(O)C2O)ccc1Cl,True,436.8120000000001,0.03339999999999965,171.92,4,9,5,30,0.3200935371544179,True,6.642602384515793,1.6956349355689442,False
CN(Cc1ccccc1)Cc1nnsc1Cl,1,21.94,CN(Cc1ccccc1)Cc1nnsc1Cl,CN(Cc1ccccc1)Cc1nnsc1Cl,True,253.75799999999995,2.823500000000001,29.020000000000003,0,4,4,16,0.8391526249545251,True,6.630757979329427,1.4745804889780385,True
COc1ccc(NC(=O)c2ccccc2NC(=O)c2ccccc2)cc1OC,1,23.07,COc1ccc(NC(=O)c2ccccc2NC(=O)c2ccccc2)cc1OC,COc1ccc(NC(=O)c2ccccc2NC(=O)c2ccccc2)cc1OC,True,376.4120000000001,4.208400000000003,76.66000000000001,2,4,6,28,0.675684013708765,True,6.624713774363199,1.5740741313445235,True
COC(=O)c1ccc(C=c2sc3n(c2=O)N=C2C=CC=CC2(c2cccc(F)c2)N=3)cc1,1,37.94,COC(=O)c1ccc(C=c2sc3n(c2=O)N=C2C=CC=CC2(c2cccc(F)c2)N=3)cc1,COC(=O)c1ccc(C=c2sc3n(c2=O)N=C2C=CC=CC2(c2cccc(F)c2)N=3)cc1,True,445.4750000000001,2.5231000000000012,73.02,0,6,3,32,0.5819026160832313,True,6.622456722143718,1.4808166350133147,True
Cc1cc(-c2ccc3[nH][nH]c(=N)c3c2)ccn1,1,23.11,Cc1cc(-c2ccc3[nH][nH]c(=N)c3c2)ccn1,Cc1cc(-c2ccc3[nH][nH]c(=N)c3c2)ccn1,True,224.26700000000002,2.34589,68.32,3,2,1,17,0.5831444179734295,True,6.621943015430087,1.4396050479673013,True
CCn1cc(C(=O)O)c(=O)c2cc3c(cc21)N(Cc1ccc(C)cc1C)C(C)C3,1,35.0,CCn1cc(C(=O)O)c(=O)c2cc3c(cc21)N(Cc1ccc(C)cc1C)C(C)C3,CCn1cc(C(=O)O)c(=O)c2cc3c(cc21)N(Cc1ccc(C)cc1C)C(C)C3,True,390.4830000000001,4.287640000000004,62.540000000000006,1,3,4,29,0.7219424374643093,True,6.6156025776545215,1.6768413071742272,True
CC(=O)CCCC(=O)N1Cc2ccccc2CC1C1NC(CO)Cc2cc3c(cc21)OCO3,1,41.37,CC(=O)CCCC(=O)N1Cc2ccccc2CC1C1NC(CO)Cc2cc3c(cc21)OCO3,CC(=O)CCCC(=O)N1Cc2ccccc2CC1C1NC(CO)Cc2cc3c(cc21)OCO3,True,450.53500000000025,2.6758000000000006,88.10000000000001,2,6,6,33,0.7037054783155523,True,6.615397945308685,1.647727870832917,True
O=C(CSc1nnc(-c2ccc(Br)cc2)o1)N=c1[nH]ccs1,1,22.27,O=C(CSc1nnc(-c2ccc(Br)cc2)o1)N=c1[nH]ccs1,O=C(CSc1nnc(-c2ccc(Br)cc2)o1)N=c1[nH]ccs1,True,397.2790000000001,3.1083000000000007,84.13999999999999,1,6,4,22,0.6843152912491681,True,6.580505981600474,1.5895968597972998,True
CCCNC(=O)Cn1ncc(Cl)c(Cl)c1=O,1,20.13,CCCNC(=O)Cn1ncc(Cl)c(Cl)c1=O,CCCNC(=O)Cn1ncc(Cl)c(Cl)c1=O,True,264.112,1.0762999999999994,63.99,1,3,4,16,0.884416685557281,True,6.565855738662538,1.4914657024317544,True
CC(C)(C)c1cc(C(=O)N=c2cccc[nH]2)c[nH]c1=O,1,28.11,CC(C)(C)c1cc(C(=O)N=c2cccc[nH]2)c[nH]c1=O,CC(C)(C)c1cc(C(=O)N=c2cccc[nH]2)c[nH]c1=O,True,271.32000000000005,1.7415999999999996,78.08,2,2,1,20,0.8283404878504381,True,6.56363687126523,1.47794471686696,True
