Input_Row,SMILES,Canonical_Flat_SMILES,Valid_RDKit,Novel_vs_FXA_reference_flat,MW,cLogP,TPSA,HBD,HBA,RotBonds,HeavyAtoms,QED,Basic_Druglike_Flag,SMILES_state,NLL,Predicted_FXA_pKi,RF_Tree_Uncertainty,FXA_Rank
906,CC1=C(C)Cc2c(c(O)n(-c3c(Cl)cc(NC(=O)c4cc(C(F)(F)F)nn4-c4cccc(C(=N)N)c4)cc3Cl)c2O)C1,CC1=C(C)Cc2c(c(O)n(-c3c(Cl)cc(NC(=O)c4cc(C(F)(F)F)nn4-c4cccc(C(=N)N)c4)cc3Cl)c2O)C1,True,True,619.431,6.371170000000005,142.18,5,5,5,42,0.10029008070034348,False,1,35.47,8.941557428836823,1.7900724473005005,1
760,COc1cc(-c2cc(NC(=O)c3cc(C(F)(F)F)nn3-c3cccc(CN)c3)c(C(=N)N)s2)ccc1Cl,COc1cc(-c2cc(NC(=O)c3cc(C(F)(F)F)nn3-c3cccc(CN)c3)c(C(=N)N)s2)ccc1Cl,True,True,548.9780000000002,5.276670000000003,132.04000000000002,4,6,7,37,0.18426745116013113,False,1,34.48,8.144995941400527,1.7057469919034944,2
130,O=c1ccccn1-c1ccc(NS(=O)(=O)c2ccc(Cl)s2)cc1,O=c1ccccn1-c1ccc(NS(=O)(=O)c2ccc(Cl)s2)cc1,True,True,366.851,3.353200000000002,68.17,1,4,4,23,0.7694224666098698,True,1,19.45,8.11639404877027,1.290277130671897,3
61,N=C(N)c1cccc(-n2nc(C(F)(F)F)cc2C(=O)N=c2cc(CCCCC(=O)O)o[nH]2)c1,N=C(N)c1cccc(-n2nc(C(F)(F)F)cc2C(=O)N=c2cc(CCCCC(=O)O)o[nH]2)c1,True,True,464.4040000000002,2.6347700000000005,163.35,4,5,8,33,0.22740847916976856,True,1,33.42,8.114685096041361,2.0443710352969986,4
229,Cn1c(C(=O)Nc2ccc(C(=N)N)cc2)cc2cc(C(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cc3)sc21,Cn1c(C(=O)Nc2ccc(C(=N)N)cc2)cc2cc(C(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cc3)sc21,True,True,572.6720000000003,4.342870000000002,173.16,5,6,7,40,0.14383674654633619,True,1,29.63,7.879111678600311,1.7033629584997598,5
588,Cc1nc2c(C(F)(F)F)nn(-c3ccc4n[nH]cc4c3)c(=O)c2n1-c1ccc(Oc2ccccc2)cc1F,Cc1nc2c(C(F)(F)F)nn(-c3ccc4n[nH]cc4c3)c(=O)c2n1-c1ccc(Oc2ccccc2)cc1F,True,True,520.4460000000003,5.706320000000003,90.62000000000002,1,5,4,38,0.30107094634314757,False,1,37.09,7.858141739273071,1.5595661935284084,6
600,Cn1c(C2CCCCC2)nnc1C1CCCN1C(=O)c1cc(C(F)(F)F)nn1-c1ccc2o[nH]c(=N)c2c1,Cn1c(C2CCCCC2)nnc1C1CCCN1C(=O)c1cc(C(F)(F)F)nn1-c1ccc2o[nH]c(=N)c2c1,True,True,528.5390000000001,4.598370000000004,121.62,2,6,4,38,0.40107719452878604,True,1,35.68,7.854192399342854,1.6607898133872698,7
264,COc1cc(-c2ccccc2CN2CCCC2)ccc1NC(=O)c1nnn(-c2cccc(Cl)c2)c1OC,COc1cc(-c2ccccc2CN2CCCC2)ccc1NC(=O)c1nnn(-c2cccc(Cl)c2)c1OC,True,True,518.0170000000002,5.453000000000005,81.51,1,6,8,37,0.33438163022538375,False,1,33.4,7.831195598220826,1.489858085604147,8
292,COC(=O)c1cn(Cc2ccc(-c3cc(C(F)(F)F)nn3-c3cccc(OC)c3)cc2F)c2cccc(F)c2c1=O,COC(=O)c1cn(Cc2ccc(-c3cc(C(F)(F)F)nn3-c3cccc(OC)c3)cc2F)c2cccc(F)c2c1=O,True,True,569.4860000000002,5.994700000000004,75.35,0,5,6,41,0.1854724655263943,False,1,40.81,7.757558664321899,1.7184537988336375,9
785,O=c1n(CSc2nnnn2-c2ccccc2)nnn1-c1ccc(Cl)cc1,O=c1n(CSc2nnnn2-c2ccccc2)nnn1-c1ccc(Cl)cc1,True,True,386.8280000000001,1.8078999999999996,96.31,0,7,5,26,0.4823404374820071,True,1,21.87,7.711248686451381,1.320507640851878,10
442,Cc1cc(CNc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cc2)on1,Cc1cc(CNc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cc2)on1,True,True,376.2430000000001,5.154220000000002,67.16,2,4,5,25,0.6460148789255366,False,1,27.24,7.706925439357757,1.2667898857861937,11
241,COc1ncc(Cl)cc1NC(=O)CN1C(=O)C(=O)c2cc(Cl)ccc21,COc1ncc(Cl)cc1NC(=O)CN1C(=O)C(=O)c2cc(Cl)ccc21,True,True,380.18700000000007,2.5650000000000004,88.6,1,5,4,25,0.8241100803343601,True,1,27.02,7.7063453270276385,1.5267321852687656,12
