Candidate_Rank,Candidate_Tier,Selection_Score,Predicted_FXA_pKi,RF_Tree_Uncertainty,MW,cLogP,TPSA,HBD,HBA,RotBonds,HeavyAtoms,QED,SMILES,Canonical_Flat_SMILES
3,Tier_2_pKi_7p5_to_8_druglike,7.525189312248539,7.879111678600311,1.7033629584997598,572.6720000000003,4.342870000000002,173.16,5,6,7,40,0.1438367465463361,Cn1c(C(=O)Nc2ccc(C(=N)N)cc2)cc2cc(C(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cc3)sc21,Cn1c(C(=O)Nc2ccc(C(=N)N)cc2)cc2cc(C(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cc3)sc21
4,Tier_2_pKi_7p5_to_8_druglike,7.63953354326043,7.854192399342854,1.6607898133872698,528.5390000000001,4.598370000000004,121.62,2,6,4,38,0.401077194528786,Cn1c(C2CCCCC2)nnc1C1CCCN1C(=O)c1cc(C(F)(F)F)nn1-c1ccc2o[nH]c(=N)c2c1,Cn1c(C2CCCCC2)nnc1C1CCCN1C(=O)c1cc(C(F)(F)F)nn1-c1ccc2o[nH]c(=N)c2c1
5,Tier_2_pKi_7p5_to_8_druglike,7.622291994979415,7.711248686451381,1.320507640851878,386.8280000000001,1.8079,96.31,0,7,5,26,0.4823404374820071,O=c1n(CSc2nnnn2-c2ccccc2)nnn1-c1ccc(Cl)cc1,O=c1n(CSc2nnnn2-c2ccccc2)nnn1-c1ccc(Cl)cc1
6,Tier_2_pKi_7p5_to_8_druglike,7.736717320877627,7.7063453270276385,1.5267321852687656,380.18700000000007,2.5650000000000004,88.6,1,5,4,25,0.8241100803343601,COc1ncc(Cl)cc1NC(=O)CN1C(=O)C(=O)c2cc(Cl)ccc21,COc1ncc(Cl)cc1NC(=O)CN1C(=O)C(=O)c2cc(Cl)ccc21
7,Tier_2_pKi_7p5_to_8_druglike,7.506961458737659,7.705741723855336,1.557300814635986,496.45800000000025,3.664200000000002,136.35,2,6,5,37,0.381089877082639,NC(=O)c1nn(-c2ccccc2)c2c1C(=O)N(c1ccc(NC(=O)c3noc4ccc(F)cc34)cc1)C2,NC(=O)c1nn(-c2ccccc2)c2c1C(=O)N(c1ccc(NC(=O)c3noc4ccc(F)cc34)cc1)C2
8,Tier_2_pKi_7p5_to_8_druglike,7.549596292375133,7.67618526204427,1.5146051119021835,527.8360000000001,4.018300000000002,90.98,2,6,8,34,0.5041246166128192,CCOC(=O)CN1CCN(CC(=O)Nc2c(Cl)cc(Cl)cc2C(=O)Nc2ccc(Cl)cc2)CC1,CCOC(=O)CN1CCN(CC(=O)Nc2c(Cl)cc(Cl)cc2C(=O)Nc2ccc(Cl)cc2)CC1
9,Tier_2_pKi_7p5_to_8_druglike,7.327776490089393,7.626498260243734,1.6108268384203182,495.5420000000002,2.21877,192.55,5,6,5,34,0.2079698789014781,N=C(N)c1sc2c(C(=O)N=c3cc(C(=O)O)cc[nH]3)cc(-c3ccccc3S(N)(=O)=O)ccc1-2,N=C(N)c1sc2c(C(=O)N=c3cc(C(=O)O)cc[nH]3)cc(-c3ccccc3S(N)(=O)=O)ccc1-2
10,Tier_2_pKi_7p5_to_8_druglike,7.447438151059468,7.595505634943644,1.487109608275254,375.436,1.6955699999999991,98.26,3,4,6,28,0.4474198363692762,N=c1cc(-c2c3c(=O)n(CCCN4CC4)[nH]c3nn2-c2ccccc2)cc[nH]1,N=c1cc(-c2c3c(=O)n(CCCN4CC4)[nH]c3nn2-c2ccccc2)cc[nH]1
11,Tier_2_pKi_7p5_to_8_druglike,7.246818338964825,7.585270536025365,1.7048896230666353,584.0360000000002,4.119570000000001,158.01,5,7,9,42,0.1755404174122376,COc1c(Cl)cccc1-c1cc(C(=O)Nc2ccc(=N)[nH]c2)n(-c2ccc(C(=O)NC(CO)c3cccnc3)cc2)n1,COc1c(Cl)cccc1-c1cc(C(=O)Nc2ccc(=N)[nH]c2)n(-c2ccc(C(=O)NC(CO)c3cccnc3)cc2)n1
12,Tier_2_pKi_7p5_to_8_druglike,7.413942037595415,7.528956758022308,1.5182424862103778,441.93800000000033,4.542100000000004,63.05,1,4,9,31,0.5290918022514035,O=C(NC1CC1)c1ccc(-n2nc(Cl)c3ccc(N(CCCF)CC4CC4)nc32)cc1,O=C(NC1CC1)c1ccc(-n2nc(Cl)c3ccc(N(CCCF)CC4CC4)nc32)cc1
13,Tier_2_pKi_7p5_to_8_druglike,7.300170237077824,7.52035758412679,1.718938557051968,463.9540000000001,4.225520000000003,92.59,1,7,5,32,0.4190945844280498,Cc1c(CN(C)c2ncc(Cl)c3sc(-c4nn[nH]n4)cc23)cccc1-n1ccccc1=O,Cc1c(CN(C)c2ncc(Cl)c3sc(-c4nn[nH]n4)cc23)cccc1-n1ccccc1=O
14,Tier_2_pKi_7p5_to_8_druglike,7.50598559444659,7.506713142712911,1.554238313194491,264.66799999999995,1.9862,82.19,3,3,2,18,0.7756640600646023,O=C(Nc1ccc(O)[nH]c1=O)c1ccc(Cl)cc1,O=C(Nc1ccc(O)[nH]c1=O)c1ccc(Cl)cc1
15,Tier_2_pKi_7p5_to_8_druglike,7.3866218005363695,7.501655541578929,1.6333740774680594,399.407,2.46627,116.94,3,5,3,28,0.5866195566489105,CC(=O)c1cccc(-c2c3c(nn2-c2ccc(F)cc2)C(=N)NS(=O)(=O)N3)c1,CC(=O)c1cccc(-c2c3c(nn2-c2ccc(F)cc2)C(=N)NS(=O)(=O)N3)c1
